skill_id,skill_name,aliases,description,taxonomy,original_id
SKILL_0000020,adopt ways to foster biodiversity and animal welfare,"implement environmental choices in your own eating habit, adopt a sustainable eating habit, promoting organic and biological food consumption, take animal welfare into account when buying food products, concretely support biodiversity and animal welfare, take sustainability issues into account in consumption choices","Engage in behaviours that help maintaining stable ecosystems and combatting mass extinction, for example by making conscious dietary choices that support organic food production and animal welfare.",esco,http://data.europa.eu/esco/skill/0171653e-c8e9-4c24-bb86-a4b6fe038f25
SKILL_0000021,advise others,"make recommendations to others, provide advisory services, advise colleagues, give constructive feedback, mentor others, counsel others, advise customers, mentor individuals, counselling, giving advice to others, guide, offer suggestions to others, give advice",Offer suggestions about the best course of action.,esco,http://data.europa.eu/esco/skill/045f71e6-0699-4169-8a54-9c6b96f3174d
SKILL_0000022,accept criticism and guidance,"welcome feedback, accept constructive criticism, accept critics, accept feedback, tolerate critics, handle feedback, welcome criticism","Handle negative feedback from others and react openly to criticism, trying to identify in it potential areas for improvement.",esco,http://data.europa.eu/esco/skill/05aa7c09-46e7-433f-a81b-92841f4551e7
SKILL_0000023,"apply knowledge of philosophy, ethics and religion","assess the consequences and impact of ideas, apply philosophical school of thoughts, evaluate the moral and ethical consequences of actions, follow ethical values and religious believes, act according to ethical and religious values","Discover and develop an individual perspective about one's roles, meaning and purpose, including what it means to live, to die and to be human.",esco,http://data.europa.eu/esco/skill/0b709c64-a57a-4976-86bd-34d2cf34fa4f
SKILL_0000024,adopt ways to reduce pollution,"prefer public to private transport, use public transportation, prevent pollution, reduce noise, handle your own waste","Apply measures to reduce air, noise, light, water or environmental pollution, for example by using public transports, not leaving any waste in the natural environment, and reducing unnecessary light and noise emissions, particularly during the night.",esco,http://data.europa.eu/esco/skill/0d75a128-bd88-4c1b-b70d-8e963aeb490c
SKILL_0000025,meet commitments,"meet commitment, show conscientiousness, keep promises, meet targets, show reliability, demonstrate commitment, show responsibility, show commitment, achieve goals, demonstrate steady effort, demonstrate conscientiousness, meeting commitments, demonstrate punctuality, demonstrate reliability, work to deadlines, demonstrate loyalty","Perform one's tasks in a self-disciplined, reliable and goal-oriented manner.",esco,http://data.europa.eu/esco/skill/113b4428-0a31-4199-8496-070af7854b91
SKILL_0000026,adjust to physical demands,"tolerate unfavourable temperatures, demonstrate physical resilience, work under adverse weather conditions","Demonstrate the capacity to endure high physical stress from work or sport. It includes kneeling, standing or running for a long time or working under difficult meteorological conditions such as strong heat, cold and rain.",esco,http://data.europa.eu/esco/skill/13b4a3d2-abdf-4442-8e52-d7464a58ecbc
SKILL_0000027,assume responsibility,"demonstrate a conscientious attitude, show responsible behaviour, be ready to take on responsibility, be responsible, showing responsibility, act responsibly, prove sense of responsibility, be ready to take responsibilities, demonstrate responsibility","Accept responsibility and accountability for one's own professional decisions and actions, or those delegated to others.",esco,http://data.europa.eu/esco/skill/199f7919-5114-41b6-b6a5-41e0e4896ec1
SKILL_0000028,show determination,"strive for success, make an effort, demonstrate positive disposition, demonstrate positive attitude, persist, demonstrate a focussed approach, have clear goals, strive for results, demonstrate positive thinking, exhibit enthusiasm, demonstrate enthusiasm, show positive disposition","Show commitment to do something that is difficult and requires hard work. Display great effort driven by an interest or enjoyment in work itself, in the absence of external pressures.",esco,http://data.europa.eu/esco/skill/19a64e91-bfe3-4c48-9225-3bb1229b12f0
SKILL_0000029,carry out calculations,"use numbers, carry out work-related calculation",Solve mathematical problems to achieve work-related goals.,esco,http://data.europa.eu/esco/skill/19ba11f3-9c99-41fd-a7c9-f77e6a026186
SKILL_0000030,manage frustration,"foster hope, manage emotions, handle frustration, recognise own potential, managing frustration, deal with frustration, show capacity to deal with stress, cope with frustration, manage own emotions, control impulses, manage disappointments, cope well with setbacks, recover from setbacks, regulate moods",Stay calm and react in a constructive way to own or others' anger or when faced with obstacles or complaints.,esco,http://data.europa.eu/esco/skill/1d1fedcb-4995-44ac-90f5-f31a157ce512
SKILL_0000031,calculate probabilities,"estimate the probability of an outcome or fact, make estimations, work with probabilities",Predict the probability of an outcome based on calculations or experience.,esco,http://data.europa.eu/esco/skill/1dabb413-18e8-48ed-a963-44978e67ad32
SKILL_0000032,manage financial and material resources,"select appropriate insurance products, use investments and credit to achieve long term goals, use financial advices and guidance services with a critical mindset, manage personal finances, manage personal budget for financial needs, undertake effective financial planning, compare deals and offers when acquiring products or services, exercise consumer rights","Undertake effective financial planning, using credit, savings, investments and pensions to achieve short and long term goals, using financial advices and guidance services with a critical mindset, comparing deals and offers when acquiring products or services and actively selecting appropriate insurance products.",esco,http://data.europa.eu/esco/skill/1ddc021d-d818-4731-904f-842d7491f419
SKILL_0000033,show commitment,"show willingness to work, enjoy one's profession, demonstrate enthusiasm, demonstrate motivation, show motivation, demonstrate commitment, have commitment, show willingness to perform, enjoy working","Show willingness to take on tasks immediately, even if they are difficult or uncomfortable.",esco,http://data.europa.eu/esco/skill/1fce1197-3a5b-45b7-8797-575cd3b57a01
SKILL_0000034,think quickly,"understand quickly, show a good level of perception, react quickly",Be able to grasp and process the most important aspects of facts and their connections quickly and accurately.,esco,http://data.europa.eu/esco/skill/20012caa-b63c-4cb9-b2b8-01a1cfdfc1d1
SKILL_0000035,evaluate environmental impact of personal behaviour,"apply ethical and sustainable thinking, adopt an environmental friendly attitude, adopt an ecological attitude, demonstrate sensitivity for environmental issues, consider the impact of your actions on the environment",Adopt a sustainability-oriented mindset in you daily life and reflect on your personal ecological attitude and on the environmental impact of your behaviour.,esco,http://data.europa.eu/esco/skill/2aaad52d-599e-4e77-a681-bbc236825821
SKILL_0000036,manage quality,"oversee quality, apply quality standards, monitor quality, managing quality, attend to quality, work to agreed standards","Pursue excellence in workplace processes, products and activities.",esco,http://data.europa.eu/esco/skill/35ebe444-9ece-4fbc-a55d-e99ea37267ae
SKILL_0000037,exercise self-reflection,"reflect on practice, assess the impact of your professional development, estimate the impact of your professional development, evaluate the impact of your professional development, self-evaluate, evaluate professional development impact, be able to engage in self-reflection, monitor the impact of your professional development, gauge the impact of your professional development, perform self-assessment, conduct self-assessment, self-assess, perform self-evaluation, do self-assessment, examine the impact of your professional development","Effectively, regularly and systematically reflect on own actions, performance, and attitudes, and make necessary adjustments, seeking professional development opportunities to plug knowledge and practice gaps in identified areas. Evaluate the impact of your own professional development.",esco,http://data.europa.eu/esco/skill/409a0245-0e6c-4aac-ba16-0920ecb76a8d
SKILL_0000038,demonstrate curiosity,"display curiosity, demonstrating curiosity, show curiosity, demonstrate interest, show interest, be curious, curiosity, exhibit curiosity","Show a lively interest in novelty, an openness to experience, find subjects and topics fascinating, actively explore and discover new areas.",esco,http://data.europa.eu/esco/skill/429062f1-a958-43ea-83dd-4e1af078c156
SKILL_0000039,manage personal progression,"manage career goals, plan your career, manage life goals, market yourself",Take charge of and market your own skills and competences to advance in work and private life.,esco,http://data.europa.eu/esco/skill/468135b7-5757-48c3-9509-fde0e13ec5be
SKILL_0000040,approach challenges positively,"show sense of humour, keep a positive attitude, adopt a constructive approach, maintain a positive attitude",Adopt a positive attitude and a constructive approach when dealing with challenges.,esco,http://data.europa.eu/esco/skill/469748ce-051a-407e-9099-0c9415ac2705
SKILL_0000041,think analytically,"think in an analytical way, develop an analytical approach, analytical thinking, use logical reasoning, apply structural analysis, apply structured thinking, think analytically, think logically, apply logical thinking","Produce thoughts using logic and reasoning in order to identify the strengths and weaknesses of alternative solutions, conclusions or approaches to problems.",esco,http://data.europa.eu/esco/skill/4707da90-9cfc-46ca-8de0-38a0b7bfb137
SKILL_0000042,adapt to change,"be flexible, demonstrate flexibility, openness to change, revise plans to deal with changes, assimilate to change, be open to change, adapt to changes, adjust to change, show willingness to change, conform to change, adapting to change",Alter one's attitude or behaviour to accommodate modifications in the workplace.,esco,http://data.europa.eu/esco/skill/49de9958-2aa4-4eef-a89d-fe5d5bcd28c4
SKILL_0000043,adopt ways to reduce negative impact of consumption,"follow recycling collection schedules, reduce energy usage, follow environmentally-sustainable work practices, avoid single-use items, share physical resources, reduce water or energy consumption, reuse materials, practice a minimalist lifestyle, minimise waste production in households, avoid plastic, reuse products","Apply principles, policies and regulations aimed at environmental sustainability, including the reduction of waste, energy and water consumption, the reuse and recycling of products, and the engagement in the sharing economy.",esco,http://data.europa.eu/esco/skill/4c3ab565-747c-4db3-8c47-79e8d6f98cf4
SKILL_0000044,maintain psychological well-being,"balance working time and personal life, maintain work-life balance, safely use digital technologies, protect the psychological wellbeing, pursue mental wellbeing","Be able to avoid threats to psychological well-being, for example while using digital technologies, including the maintenance of a healthy work-life-learn balance.",esco,http://data.europa.eu/esco/skill/4c772721-9280-49cb-9988-b6ea3d36b06d
SKILL_0000045,protect the health of others,"provide first aid, intervene promptly in case of need, safeguard one's person health, react adequately in case of accidents","Prevent harm from and support recovery of family members, wards, and fellow citizens, including adequate responses in case of accidents like the provision of first aid.",esco,http://data.europa.eu/esco/skill/4cde32b5-fc2f-4257-a8b9-5b15a67ee3e5
SKILL_0000046,moderate a discussion,"moderate workshops, carry out moderation, guide a discussion, apply moderation techniques, oversee a discussion, moderate conferences, lead discussions","Apply moderation techniques and methods to lead discussions between two or more people, including situations such as workshops, conferences or online events. Ensure the correctness and politeness of the debate.",esco,http://data.europa.eu/esco/skill/5b46f572-7ced-4efd-b270-a81a164d521c
SKILL_0000047,"apply knowledge of science, technology and engineering","demonstrate scientific literacy, demonstrate technical abilities, take on new technology, carry out measurements","Develop and apply an understanding of the physical world and its governing principles, for example by making reasonable predictions about causes and effects, conceiving tests of these predictions and carrying out measurements using suitable units, tools and equipment.",esco,http://data.europa.eu/esco/skill/5c3ab99d-a3f1-4620-9602-d12d2151a03d
